Date,Surface,Rd,Opponent,Score,DR,A%,DF%,1stIn,1st%,2nd%,Player,Ret_TPW,Ret_RPW,Ret_vA%,Ret_v1st%,Ret_v2nd%,Ret_BPCnv,Ret_Time
15‑Apr‑2024,Hard,R32,Charles Broom,6-2 6-3,1.29,3.6%,1.8%,72.7%,62.5%,33.3%,Adam Walton,56.8%,58.7%,1.6%,53.7%,68.2%,7/14,1:25
8‑Apr‑2024,Hard,SF,Giovanni Mpetshi Perricard,7-6(6) 5-7 7-5,0.72,3.3%,4.1%,57.0%,75.4%,57.7%,Adam Walton,47.3%,23.3%,30.1%,10.9%,43.6%,1/3,2:27
8‑Apr‑2024,Hard,QF,Beibit Zhukayev,7-6(3) 6-7(5) 6-4,1.38,7.4%,1.9%,62.0%,79.1%,70.7%,Adam Walton,52.7%,33.3%,18.6%,25.0%,46.9%,1/8,2:57
8‑Apr‑2024,Hard,R16,Antoine Bellier,7-6(11) 6-4,1.35,8.2%,2.7%,58.9%,93.0%,53.3%,Adam Walton,52.6%,31.3%,19.3%,22.2%,48.3%,1/5,1:45
8‑Apr‑2024,Hard,R32,Olukayode Alafia Damina Ayeni,6-3 6-1,8.31,8.8%,0.0%,44.1%,93.3%,94.7%,Adam Walton,68.4%,48.9%,13.3%,33.3%,59.3%,4/7,0:58
1‑Apr‑2024,Clay,R32,Alexis Galarneau,6-3 7-6(5),0.7,9.2%,10.8%,47.7%,80.6%,41.2%,Adam Walton,44.2%,28.1%,7.8%,20.7%,34.3%,1/2,1:41
18‑Mar‑2024,Hard,R128,Felix Auger Aliassime,7-5 6-4,0.66,2.9%,1.4%,75.4%,63.5%,58.8%,Adam Walton,44.4%,25.0%,17.2%,18.6%,38.1%,0/5,2:00
18‑Mar‑2024,Hard,Q2,Pedro Martinez,3-6 6-2 6-3,1.26,7.1%,0.0%,71.8%,73.8%,41.7%,Adam Walton,53.3%,44.6%,3.6%,46.4%,39.3%,4/15,2:38
18‑Mar‑2024,Hard,Q1,Thiago Monteiro,6-7(5) 7-6(3) 6-4,1.08,11.1%,0.0%,64.8%,80.0%,68.4%,Adam Walton,51.9%,26.0%,10.0%,22.1%,34.4%,1/2,2:54
11‑Mar‑2024,Hard,R32,Arthur Cazaux,7-6(5) 6-4,0.91,6.1%,3.0%,65.2%,69.8%,56.5%,Adam Walton,48.1%,31.9%,8.7%,28.6%,35.3%,2/5,1:36
11‑Mar‑2024,Hard,Q2,Liam Broady,6-7(1) 6-2 6-3,1.2,7.3%,1.0%,56.3%,75.9%,57.1%,Adam Walton,54.1%,38.8%,5.9%,36.5%,42.4%,4/6,2:17
11‑Mar‑2024,Hard,Q1,Mikhail Kukushkin,6-2 2-0 RET,2.71,12.5%,4.2%,75.0%,72.2%,83.3%,Adam Walton,70.9%,67.7%,3.2%,70.0%,63.6%,4/5,0:39
4‑Mar‑2024,Hard,Q1,Thiago Seyboth Wild,6-1 6-3,0.63,7.8%,3.9%,56.9%,62.1%,36.4%,Adam Walton,40.8%,30.8%,11.5%,16.7%,50.0%,0/2,1:14
26‑Feb‑2024,Hard,R16,Geoffrey Blancaneaux,6-3 6-0,0.49,4.5%,0.0%,47.7%,47.6%,47.8%,Adam Walton,36.3%,25.5%,4.3%,20.7%,33.3%,0/1,1:18
26‑Feb‑2024,Hard,R32,Gauthier Onclin,6-4 6-0,1.69,4.4%,2.2%,46.7%,71.4%,66.7%,Adam Walton,59.8%,52.6%,1.8%,50.0%,55.2%,5/13,1:19
19‑Feb‑2024,Hard,F,Valentin Vacherot,3-6 7-6(5) 7-6(5),1.05,6.0%,0.0%,68.1%,70.9%,59.5%,Adam Walton,51.3%,34.5%,11.8%,26.9%,53.1%,4/8,2:38
19‑Feb‑2024,Hard,SF,Duje Ajdukovic,7-5 7-6(6),1.33,4.2%,1.4%,54.2%,87.2%,54.5%,Adam Walton,53.6%,37.0%,7.4%,30.4%,45.7%,2/4,1:48
19‑Feb‑2024,Hard,R16,Tung Lin Wu,6-0 6-7(5) 7-6(4),1.36,6.5%,2.2%,63.4%,74.6%,55.9%,Adam Walton,55.5%,43.9%,3.1%,41.8%,48.4%,6/9,2:40
19‑Feb‑2024,Hard,R32,Raphael Collignon,7-6(1) 6-2,1.68,5.0%,1.7%,63.3%,81.6%,63.6%,Adam Walton,59.0%,42.1%,14.0%,30.6%,61.9%,3/6,1:30
12‑Feb‑2024,Hard,QF,Sumit Nagal,7-5 6-2,0.75,2.6%,3.8%,67.9%,56.6%,44.0%,Adam Walton,44.6%,35.7%,1.4%,36.5%,33.3%,1/4,2:06
12‑Feb‑2024,Hard,R16,Gauthier Onclin,6-2 6-2,1.62,9.4%,3.8%,64.2%,85.3%,42.1%,Adam Walton,60.4%,48.8%,4.7%,38.9%,56.0%,4/7,1:08
